number of packets,P(Xk(A)=n),P(Xk(A)<n),E(Xk(A)),P(Zn(A)=k),P(Zn(A)<=k)
579,0.768412,0.231588,19.738512,0.001532,0.768414
580,0.769935,0.230065,19.740463,0.001523,0.769937
581,0.77145,0.22855,19.7424,0.001514,0.771451
582,0.772956,0.227044,19.744323,0.001506,0.772957
583,0.774453,0.225547,19.746231,0.001497,0.774454
584,0.775942,0.224058,19.748124,0.001489,0.775943
585,0.777423,0.222577,19.750004,0.001481,0.777424
586,0.778895,0.221105,19.75187,0.001472,0.778896
587,0.780358,0.219642,19.753721,0.001464,0.78036
588,0.781814,0.218186,19.755559,0.001455,0.781815
589,0.783261,0.216739,19.757384,0.001447,0.783262
590,0.7847,0.2153,19.759194,0.001439,0.784701
591,0.78613,0.21387,19.760991,0.001431,0.786132
592,0.787553,0.212447,19.762775,0.001422,0.787554
593,0.788967,0.211033,19.764545,0.001414,0.788968
594,0.790373,0.209627,19.766302,0.001406,0.790374
595,0.79177,0.20823,19.768046,0.001398,0.791772
596,0.79316,0.20684,19.769777,0.00139,0.793162
597,0.794542,0.205458,19.771495,0.001382,0.794544
598,0.795915,0.204085,19.773201,0.001373,0.795917
599,0.797281,0.202719,19.774893,0.001365,0.797282
600,0.798638,0.201362,19.776573,0.001357,0.798639
601,0.799988,0.200012,19.77824,0.001349,0.799988
602,0.801329,0.198671,19.779895,0.001342,0.80133
603,0.802663,0.197337,19.781538,0.001334,0.802664
604,0.803988,0.196012,19.783168,0.001326,0.80399
605,0.805306,0.194694,19.784786,0.001318,0.805308
606,0.806617,0.193383,19.786392,0.00131,0.806618
607,0.807919,0.192081,19.787987,0.001302,0.80792
608,0.809213,0.190787,19.789569,0.001295,0.809215
609,0.8105,0.1895,19.791139,0.001287,0.810502
610,0.811779,0.188221,19.792698,0.001279,0.811781
611,0.813051,0.186949,19.794245,0.001272,0.813053
612,0.814315,0.185685,19.79578,0.001264,0.814317
613,0.815571,0.184429,19.797304,0.001256,0.815573
614,0.81682,0.18318,19.798817,0.001249,0.816822
615,0.818061,0.181939,19.800318,0.001241,0.818063
616,0.819295,0.180705,19.801808,0.001234,0.819297
617,0.820521,0.179479,19.803288,0.001226,0.820523
618,0.82174,0.17826,19.804756,0.001219,0.821742
619,0.822951,0.177049,19.806213,0.001211,0.822953
620,0.824155,0.175845,19.807659,0.001204,0.824157
621,0.825352,0.174648,19.809094,0.001197,0.825354
622,0.826541,0.173459,19.810519,0.001189,0.826543
623,0.827723,0.172277,19.811933,0.001182,0.827725
624,0.828898,0.171102,19.813336,0.001175,0.8289
625,0.830066,0.169934,19.814729,0.001168,0.830068
626,0.831226,0.168774,19.816112,0.00116,0.831228
