number of packets,P(Xk(A)=n),P(Xk(A)<n),E(Xk(A)),P(Zn(A)=k),P(Zn(A)<=k)
1044,0.763766,0.236234,669.730984,0.001548,0.76376
1045,0.765306,0.234694,669.732991,0.00154,0.7653
1046,0.766838,0.233162,669.734984,0.001532,0.766832
1047,0.768361,0.231639,669.736962,0.001523,0.768355
1048,0.769876,0.230124,669.738925,0.001515,0.76987
1049,0.771382,0.228618,669.740873,0.001506,0.771376
1050,0.77288,0.22712,669.742807,0.001498,0.772874
1051,0.77437,0.22563,669.744726,0.00149,0.774364
1052,0.775851,0.224149,669.746631,0.001481,0.775845
1053,0.777324,0.222676,669.748522,0.001473,0.777318
1054,0.778789,0.221211,669.750399,0.001465,0.778783
1055,0.780245,0.219755,669.752261,0.001457,0.78024
1056,0.781694,0.218306,669.75411,0.001448,0.781688
1057,0.783134,0.216866,669.755945,0.00144,0.783128
1058,0.784566,0.215434,669.757766,0.001432,0.78456
1059,0.78599,0.21401,669.759574,0.001424,0.785984
1060,0.787406,0.212594,669.761368,0.001416,0.7874
1061,0.788813,0.211187,669.763149,0.001408,0.788808
1062,0.790213,0.209787,669.764917,0.0014,0.790208
1063,0.791605,0.208395,669.766671,0.001392,0.7916
1064,0.792988,0.207012,669.768412,0.001384,0.792984
1065,0.794364,0.205636,669.770141,0.001376,0.79436
1066,0.795732,0.204268,669.771856,0.001368,0.795728
1067,0.797091,0.202909,669.773559,0.00136,0.797088
1068,0.798443,0.201557,669.775248,0.001352,0.79844
1069,0.799788,0.200212,669.776926,0.001344,0.799784
1070,0.801124,0.198876,669.77859,0.001336,0.80112
1071,0.802452,0.197548,669.780243,0.001329,0.802449
1072,0.803773,0.196227,669.781883,0.001321,0.80377
1073,0.805086,0.194914,669.78351,0.001313,0.805083
1074,0.806392,0.193608,669.785126,0.001305,0.806388
1075,0.807689,0.192311,669.78673,0.001298,0.807686
1076,0.808979,0.191021,669.788321,0.00129,0.808976
1077,0.810262,0.189738,669.789901,0.001282,0.810258
1078,0.811537,0.188463,669.791469,0.001275,0.811533
1079,0.812804,0.187196,669.793025,0.001267,0.8128
1080,0.814064,0.185936,669.79457,0.00126,0.81406
1081,0.815316,0.184684,669.796103,0.001252,0.815312
1082,0.816561,0.183439,669.797624,0.001245,0.816557
